value,freq
4760,2
470,3
545,1
3580,1
5829,1
5805,1
1771,3
1288,5
2058,2
1216,3
3476,1
1386,8
1211,1
5330,1
4485,1
392,6
1598,1
2336,1
1958,2
6188,2
1816,1
4482,2
6664,1
2718,1
3509,1
2565,3
2075,1
4598,2
100,8
1802,1
3950,1
6050,1
4725,3
3956,1
6072,1
4342,1
6727,1
1570,1
365,1
3979,1
334,1
6570,1
4199,2
2266,2
475,3
3584,2
3318,2
180,14
684,7
1102,2
43,2
954,3
35,4
2079,4
671,1
781,1
1992,3
924,9
65,4
1100,6
118,3
2150,2
1888,2
3930,1
2363,1
3496,2
1974,2
2712,2
494,4
1062,3
1256,1
4960,2
5432,1
5766,1
1435,1
5590,1
5129,1
2510,1
2928,3
6831,1
663,3
6776,1
1957,1
371,1
4202,1
5088,1
2740,1
1128,4
1717,1
4576,2
1143,1
558,5
2222,2
61,2
2706,2
4950,3
652,1
1397,1
1853,1
1800,10
7018,1
41,2
623,1
2057,2
3096,2
3492,1
3841,1
517,1
1164,2
2832,3
1400,7
1016,2
4161,1
7380,1
1856,3
3256,1
5376,2
3300,5
1921,1
3102,1
1162,2
1341,1
3486,2
3050,1
6200,2
633,1
154,7
1477,1
1233,1
3888,4
3072,2
2982,2
447,1
4250,2
2895,1
948,3
2413,1
1899,1
6634,1
745,1
58,4
722,1
1290,4
6107,1
1990,1
6930,1
1518,4
4893,1
6815,1
19,3
2552,3
3103,1
3553,2
120,14
6060,1
3725,1
1073,1
4648,1
4422,1
5568,2
6180,1
1446,1
108,10
7163,1
1326,4
6748,1
4263,2
4731,1
513,4
265,1
1363,1
854,2
1278,3
826,2
2337,1
2414,1
3816,2
738,4
179,2
3971,1
4862,2
5328,1
7084,1
3440,2
2920,1
1074,1
275,3
2033,1
654,2
3744,4
5796,2
2014,1
3638,1
6225,1
753,1
4260,2
3302,2
3625,2
4592,1
310,4
2171,1
3012,1
2211,1
1420,2
2088,5
3538,1
5348,1
4209,1
1284,2
5684,2
2587,1
4158,4
1630,1
3807,1
414,6
2576,4
2727,1
2159,1
3354,1
352,6
248,6
507,2
1302,5
1584,8
3211,2
724,1
3564,3
2590,1
6541,1
7099,1
2717,3
3450,4
1972,2
6580,1
4860,3
425,3
3454,1
7316,1
219,3
7471,1
5566,2
2544,3
4061,1
1169,1
2329,1
5106,1
6723,1
782,2
1125,4
2358,1
77,4
7050,1
2756,2
1712,2
2121,1
2301,1
364,7
3232,1
143,4
2772,7
1370,1
17,3
2500,3
5798,1
186,6
4248,2
3655,1
6264,2
7020,1
605,2
3960,5
2072,2
5655,1
292,2
172,4
4240,1
484,4
2332,2
2848,1
3765,1
1161,2
5992,1
1431,2
146,3
1611,1
441,4
1264,2
990,9
2288,5
2679,1
6882,1
209,4
1725,3
2697,2
5664,1
1004,1
1118,2
2438,1
4082,1
3995,1
2816,2
36,9
1586,2
2450,3
1683,3
477,2
1656,6
228,8
2652,4
4118,1
2528,1
5049,1
4896,1
5475,1
1144,5
1,2
250,6
